position,title
Q19362922,President
Q53569601,Vice President
Q112685688,Minister of Agriculture
Q112685797,Minister of Animal Resources and Fisheries
Q112685940,Minister of Cabinet Affairs
Q112686036,Minister of Commerce
Q112686075,"Minister of Culture, Youth and Sports"
Q112686152,Minister of Defence
Q112686383,Minister of Education
Q112686468,Minister of Electricity and Dams
Q112686565,Minister of Environment
Q112686425,Minister of Finance
Q112686406,Minister of Foreign Affairs
Q112686588,"Minister of Gender, Social Welfare and Religious Affairs"
Q112686350,Minister of Health
Q112684932,Minister of Higher Education
Q112686600,Minister of Housing
Q112686609,Minister of Humanitarian Affairs
Q112686797,Minister of Information and Broadcasting
Q112686903,Minister of Internal Affairs
Q112686748,Minister of Irrigation and Water Resources
Q112686712,Minister of Justice
Q112686666,Minister of National Security
Q112686629,Minister of Parliamentary Affairs
Q112686299,Minister of Peace
Q112686266,Minister of Petroleum and Mining
Q112686639,Minister of Presidential Affairs
Q112686920,Minister of Roads and Bridges
Q112686191,Minister of Transport
Q112686171,Minister of Wildlife Conservation and Tourism
Q112700860,Deputy Minister of Agriculture
Q112700862,Deputy Minister of Education
Q112700849,Deputy Minister of Finance
Q112700865,Deputy Minister of Housing
Q112700856,Deputy Minister of Information and Broadcasting
Q112700847,Deputy Minister of Internal Affairs
Q112700831,Deputy Minister of Justice
Q112700870,Deputy Minister of Petroleum and Mining
Q112700867,Deputy Minister of Transport
Q112316485,Speaker of the National Legislature
